tahun,perpustakaan,jumlah
2017,Cikini,83619
2017,Kuningan,53821
2017,PDS HB Jassin,
2017,Perpustakaan Digital iJakarta,
2017,Sudin Pusip Jakpus (Stationary),20411
2017,Sudin Pusip Jakpus (Pusling),105747
2017,Sudin Pusip Jakpus (RPTRA),
2017,Sudin Pusip Jaktim (Stationary),2877
2017,Sudin Pusip Jaktim (Pusling),46985
2017,Sudin Pusip Jaktim (RPTRA),
2017,Sudin Pusip Jakbar (Stationary),32509
2017,Sudin Pusip Jakbar (Pusling),66570
2017,Sudin Pusip Jakbar (RPTRA),
2017,Sudin Pusip Jaksel (Stationary),28923
2017,Sudin Pusip Jaksel (Pusling),57755
2017,Sudin Pusip Jaksel (RPTRA),
2017,Sudin Pusip Jakut (Stationary),22027
2017,Sudin Pusip Jakut (Pusling),77320
2017,Sudin Pusip Jakut (RPTRA),
2017,Sudin Pusip Pulau 1000 (Stationary),58916
2017,Sudin Pusip Pulau 1000 (RPTRA),
2017,Permata 1,18139
2017,Permata 2,18223
